Year,AER.Fuel.Type.Code,Net.Generation.MWh
2001,HPS,-250582
2001,HYC,1494704
2001,ORW,64204
2001,OTH,0
2001,WND,57713
2006,HPS,-200502
2006,HYC,1791207
2006,ORW,30692
2006,OTH,0
2006,WND,865536
2006,WWW,0
2011,HPS,-243379
2011,HYC,2082622
2011,ORW,39005
2011,OTH,63454
2011,WND,5200322
2011,WWW,172
2016,HPS,-294186
2016,HYC,1902571
2016,ORW,30421
2016,OTH,53388
2016,WND,9421204
2016,WWW,85822
2021,HPS,-35500
2021,HYC,1649707
2021,ORW,35983
2021,OTH,54927
2021,WND,15029262
2021,WWW,94851